NEIGHBORHOOD,DATE,CURBSIDE RECYCLING (IN POUNDS),CURBSIDE GARBAGE (IN POUNDS),CURBSIDE RECYCLING RATE
KINGSLEY,11/30/2018,12.70,89.69,12
KINGSLEY,09/30/2018,12.22,84.03,13
KINGSLEY,10/31/2018,15.51,108.72,12
LAKEVIEW,11/30/2018,13.58,81.56,14
LAKEVIEW,06/30/2018,14.88,75.51,16
LAKEVIEW,02/28/2018,13.44,64.62,17
LAKEVIEW,03/31/2018,12.76,60.13,18
LAKEVIEW,01/31/2018,15.77,78.29,17
LAKEVIEW,12/31/2017,15.01,86.30,15
LAKEVIEW,09/30/2018,14.25,78.44,15
LAKEVIEW,10/31/2018,16.56,81.37,17
LAKEVIEW,05/31/2018,17.88,107.67,14
LAKEVIEW,04/30/2018,13.41,82.72,14
LAKEVIEW,08/31/2018,17.51,95.82,15
LAKEVIEW,07/31/2018,13.53,73.15,16
LaSALLE,05/31/2018,55.55,391.52,12
LaSALLE,02/28/2018,35.15,226.30,13
LaSALLE,01/31/2018,34.45,211.78,14
LaSALLE,08/31/2018,51.93,353.16,13
LaSALLE,09/30/2018,41.14,261.66,14
LaSALLE,04/30/2018,38.28,257.49,13
LaSALLE,12/31/2017,36.33,243.62,13
LaSALLE,11/30/2018,47.76,298.26,14
LaSALLE,06/30/2018,42.42,254.34,14
LaSALLE,03/31/2018,42.31,291.60,13
LaSALLE,07/31/2018,41.93,291.31,13
LaSALLE,10/31/2018,38.12,256.06,13
LEROY,02/28/2018,19.75,109.24,15
LEROY,03/31/2018,26.72,174.80,13
LEROY,11/30/2018,28.24,185.50,13
LEROY,12/31/2017,24.41,119.03,17
LEROY,10/31/2018,23.07,136.23,14
LEROY,07/31/2018,24.98,172.46,13
LEROY,01/31/2018,22.17,110.63,17
LEROY,04/30/2018,23.81,140.23,15
LEROY,05/31/2018,30.87,212.03,13
LEROY,06/30/2018,25.97,185.81,12
LEROY,08/31/2018,28.73,199.29,13
LEROY,09/30/2018,23.49,172.20,12
LOVEJOY,06/30/2018,34.62,259.88,12
LOVEJOY,12/31/2017,30.86,204.19,13
LOVEJOY,01/31/2018,39.12,283.62,12
LOVEJOY,02/28/2018,30.43,206.29,13
LOVEJOY,11/30/2018,34.66,261.21,12
LOVEJOY,07/31/2018,39.28,328.85,11
LOVEJOY,05/31/2018,49.12,331.03,13
LOVEJOY,09/30/2018,34.95,232.94,13
LOVEJOY,04/30/2018,33.47,266.02,11
LOVEJOY,03/31/2018,31.85,203.40,14
LOVEJOY,08/31/2018,35.42,234.32,13
LOVEJOY,10/31/2018,41.75,310.92,12
MASTEN PARK,05/31/2018,22.55,134.75,14
MASTEN PARK,09/30/2018,16.29,89.58,15
MASTEN PARK,02/28/2018,16.35,77.39,17
MASTEN PARK,06/30/2018,17.54,110.44,14
MASTEN PARK,12/31/2017,16.07,85.07,16
MASTEN PARK,04/30/2018,17.43,86.11,17
MASTEN PARK,11/30/2018,17.20,87.23,16
MASTEN PARK,03/31/2018,17.84,80.40,18
MASTEN PARK,10/31/2018,21.21,121.36,15
MASTEN PARK,07/31/2018,15.99,99.14,14
MASTEN PARK,08/31/2018,21.77,124.95,15
MASTEN PARK,01/31/2018,20.72,112.29,16
MEDICAL PARK,10/31/2018,13.79,87.39,14
MEDICAL PARK,08/31/2018,14.45,92.48,14
MEDICAL PARK,11/30/2018,11.37,67.70,14
MEDICAL PARK,01/31/2018,15.28,91.78,14
MEDICAL PARK,07/31/2018,11.84,81.76,13
MEDICAL PARK,09/30/2018,11.14,70.47,14
MEDICAL PARK,12/31/2017,10.54,73.20,13
MEDICAL PARK,03/31/2018,10.14,56.04,15
MEDICAL PARK,02/28/2018,10.77,65.02,14
MEDICAL PARK,04/30/2018,11.76,64.40,15
MEDICAL PARK,05/31/2018,15.44,92.53,14
MEDICAL PARK,06/30/2018,12.11,78.98,13
MILITARY,08/31/2018,23.96,132.65,15
MILITARY,09/30/2018,15.83,98.14,14
MILITARY,07/31/2018,18.69,128.32,13
MILITARY,01/31/2018,17.41,77.08,18
MILITARY,06/30/2018,25.51,124.12,17
MILITARY,05/31/2018,19.60,91.96,18
MILITARY,03/31/2018,21.26,117.39,15
MILITARY,10/31/2018,18.67,99.71,16
MILITARY,12/31/2017,23.73,121.36,16
MILITARY,02/28/2018,17.65,99.11,15
MILITARY,11/30/2018,24.33,129.71,16
MILITARY,04/30/2018,18.41,97.95,16
M.L.K. PARK,02/28/2018,13.28,115.58,10
M.L.K. PARK,03/31/2018,11.66,98.25,11
M.L.K. PARK,06/30/2018,13.71,119.56,10
M.L.K. PARK,11/30/2018,11.20,111.81,9
M.L.K. PARK,01/31/2018,17.88,129.01,12
M.L.K. PARK,10/31/2018,14.61,141.07,9
M.L.K. PARK,07/31/2018,16.44,143.60,10
M.L.K. PARK,09/30/2018,12.20,116.39,9
M.L.K. PARK,12/31/2017,15.08,87.31,15
M.L.K. PARK,05/31/2018,15.23,153.59,9
M.L.K. PARK,08/31/2018,14.02,116.04,11
M.L.K. PARK,04/30/2018,12.20,115.62,10
NORTH DELAWARE,03/31/2018,15.03,76.99,16
NORTH DELAWARE,12/31/2017,17.51,70.42,20
NORTH DELAWARE,02/28/2018,11.25,59.03,16
NORTH DELAWARE,10/31/2018,12.23,61.26,17
NORTH DELAWARE,06/30/2018,17.82,84.11,17
NORTH DELAWARE,08/31/2018,16.08,98.91,14
NORTH DELAWARE,07/31/2018,12.38,71.95,15
NORTH DELAWARE,11/30/2018,17.15,87.96,16
NORTH DELAWARE,01/31/2018,12.14,46.28,21
NORTH DELAWARE,09/30/2018,11.25,66.19,15
NORTH DELAWARE,05/31/2018,13.97,68.44,17
NORTH DELAWARE,04/30/2018,12.25,74.07,14
NORTH PARK,07/31/2018,79.00,389.02,17
NORTH PARK,01/31/2018,88.25,300.44,23
NORTH PARK,08/31/2018,96.09,481.52,17
NORTH PARK,04/30/2018,82.40,332.00,20
NORTH PARK,10/31/2018,78.50,331.43,19
NORTH PARK,02/28/2018,73.68,283.02,21
NORTH PARK,06/30/2018,95.57,519.06,16
NORTH PARK,12/31/2017,115.90,542.23,18
NORTH PARK,03/31/2018,92.82,385.38,19
NORTH PARK,05/31/2018,88.46,501.71,15
NORTH PARK,09/30/2018,79.24,377.79,17
NORTH PARK,11/30/2018,112.98,494.57,19
PARK MEADOW,05/31/2018,39.16,181.12,18
PARK MEADOW,10/31/2018,34.85,158.33,18
PARK MEADOW,07/31/2018,36.41,145.78,20
PARK MEADOW,04/30/2018,36.29,166.12,18
PARK MEADOW,09/30/2018,35.79,161.72,18
PARK MEADOW,11/30/2018,50.56,202.52,20
PARK MEADOW,08/31/2018,46.28,233.56,17
PARK MEADOW,06/30/2018,47.98,202.16,19
PARK MEADOW,01/31/2018,39.63,112.51,26
PARK MEADOW,12/31/2017,50.33,146.76,26
PARK MEADOW,02/28/2018,36.37,126.50,22
PARK MEADOW,03/31/2018,43.71,155.77,22
PARKSIDE,05/31/2018,25.84,125.83,17
PARKSIDE,04/30/2018,18.02,74.72,19
PARKSIDE,01/31/2018,16.19,45.77,26
PARKSIDE,09/30/2018,18.06,77.17,19
PARKSIDE,06/30/2018,20.60,94.66,18
PARKSIDE,10/31/2018,18.29,71.72,20
PARKSIDE,07/31/2018,17.63,72.75,20
PARKSIDE,02/28/2018,16.70,59.50,22
PARKSIDE,12/31/2017,17.74,63.51,22
PARKSIDE,03/31/2018,21.05,80.92,21
PARKSIDE,11/30/2018,22.03,106.05,17
PARKSIDE,08/31/2018,22.68,108.70,17
PERRY,08/31/2018,1.00,6.58,13
PERRY,01/31/2018,0.86,6.36,12
PERRY,02/28/2018,0.76,4.51,14
PERRY,10/31/2018,0.88,6.30,12
PERRY,04/30/2018,0.71,4.67,13
PERRY,09/30/2018,0.76,4.89,13
PERRY,03/31/2018,0.59,3.94,13
PERRY,06/30/2018,0.89,5.40,14
PERRY,07/31/2018,0.87,5.77,13
PERRY,05/31/2018,0.96,6.33,13
PERRY,12/31/2017,0.62,5.03,11
PERRY,11/30/2018,0.69,4.82,13
RIVERSIDE PARK,05/31/2018,51.20,348.39,13
RIVERSIDE PARK,10/31/2018,41.64,285.45,13
RIVERSIDE PARK,12/31/2017,65.71,312.97,17
RIVERSIDE PARK,03/31/2018,57.97,347.73,14
RIVERSIDE PARK,07/31/2018,47.60,255.42,16
RIVERSIDE PARK,11/30/2018,58.18,373.33,13
RIVERSIDE PARK,08/31/2018,59.84,371.86,14
RIVERSIDE PARK,02/28/2018,45.86,281.39,14
RIVERSIDE PARK,04/30/2018,48.88,332.66,13
RIVERSIDE PARK,06/30/2018,64.16,369.32,15
RIVERSIDE PARK,09/30/2018,43.06,305.61,12
RIVERSIDE PARK,01/31/2018,42.52,221.02,16
SCHILLER PARK,09/30/2018,36.67,260.16,12
SCHILLER PARK,03/31/2018,31.52,238.06,12
SCHILLER PARK,02/28/2018,32.65,199.46,14
SCHILLER PARK,11/30/2018,33.20,276.33,11
SCHILLER PARK,04/30/2018,36.06,273.88,12
SCHILLER PARK,08/31/2018,37.07,286.01,11
SCHILLER PARK,12/31/2017,31.07,218.90,12
SCHILLER PARK,01/31/2018,38.84,255.47,13
SCHILLER PARK,07/31/2018,44.97,339.68,12
SCHILLER PARK,05/31/2018,44.27,316.31,12
SCHILLER PARK,06/30/2018,36.16,277.98,12
SCHILLER PARK,10/31/2018,40.40,285.03,12
SENECA,06/30/2018,16.85,102.18,14
SENECA,05/31/2018,15.23,90.03,14
SENECA,09/30/2018,16.09,89.52,15
SENECA,01/31/2018,20.06,90.19,18
SENECA,02/28/2018,16.60,65.73,20
SENECA,12/31/2017,15.63,68.87,18
SENECA,03/31/2018,15.47,71.28,18
SENECA,10/31/2018,18.92,104.11,15
SENECA,08/31/2018,14.97,88.59,14
SENECA,04/30/2018,17.84,112.31,14
SENECA,07/31/2018,21.23,125.35,14
SENECA,11/30/2018,17.80,98.73,15
SOUTH ABBOTT,12/31/2017,24.36,104.24,19
SOUTH ABBOTT,07/31/2018,29.18,148.66,16
SOUTH ABBOTT,06/30/2018,24.13,158.09,13
SOUTH ABBOTT,01/31/2018,35.38,130.51,21
SOUTH ABBOTT,10/31/2018,28.15,143.40,16
SOUTH ABBOTT,11/30/2018,24.46,133.06,16
SOUTH ABBOTT,04/30/2018,27.67,141.55,16
SOUTH ABBOTT,02/28/2018,22.83,90.26,20
SOUTH ABBOTT,08/31/2018,23.46,100.95,19
SOUTH ABBOTT,05/31/2018,27.39,156.90,15
SOUTH ABBOTT,03/31/2018,20.09,94.00,18
SOUTH ABBOTT,09/30/2018,26.17,104.97,20
SOUTH ELLICOTT,03/31/2018,8.19,48.45,14
SOUTH ELLICOTT,01/31/2018,9.78,59.98,14
SOUTH ELLICOTT,12/31/2017,7.90,39.48,17
SOUTH ELLICOTT,08/31/2018,8.58,62.90,12
SOUTH ELLICOTT,02/28/2018,7.27,43.06,14
SOUTH ELLICOTT,04/30/2018,10.72,61.87,15
SOUTH ELLICOTT,05/31/2018,8.10,58.23,12
SOUTH ELLICOTT,11/30/2018,9.29,57.55,14
SOUTH ELLICOTT,09/30/2018,7.96,49.27,14
SOUTH ELLICOTT,10/31/2018,10.12,72.31,12
SOUTH ELLICOTT,07/31/2018,10.00,73.50,12
SOUTH ELLICOTT,06/30/2018,9.53,53.13,15
SOUTH PARK,02/28/2018,34.70,183.08,16
SOUTH PARK,12/31/2017,41.87,198.84,17
SOUTH PARK,04/30/2018,52.46,279.96,16
SOUTH PARK,06/30/2018,42.31,258.74,14
SOUTH PARK,01/31/2018,58.00,252.90,19
SOUTH PARK,11/30/2018,44.06,242.12,15
SOUTH PARK,03/31/2018,33.20,190.76,15
SOUTH PARK,10/31/2018,51.38,279.42,16
SOUTH PARK,08/31/2018,41.12,216.50,16
SOUTH PARK,07/31/2018,52.33,292.12,15
SOUTH PARK,09/30/2018,41.53,221.92,16
SOUTH PARK,05/31/2018,51.00,269.19,16
STARIN CENTRAL,09/30/2018,38.99,157.02,20
STARIN CENTRAL,04/30/2018,38.87,147.38,21
STARIN CENTRAL,10/31/2018,38.98,144.76,21
STARIN CENTRAL,08/31/2018,47.99,215.89,18
STARIN CENTRAL,06/30/2018,38.04,194.68,16
STARIN CENTRAL,11/30/2018,48.57,212.29,19
STARIN CENTRAL,02/28/2018,34.26,119.55,22
STARIN CENTRAL,07/31/2018,37.99,150.20,20
STARIN CENTRAL,01/31/2018,39.70,98.03,29
STARIN CENTRAL,12/31/2017,43.80,143.54,23
STARIN CENTRAL,03/31/2018,48.18,162.91,23
STARIN CENTRAL,05/31/2018,52.15,251.23,17
STATE HOSPITAL,02/28/2018,0.46,2.36,16
STATE HOSPITAL,01/31/2018,0.51,2.67,16
STATE HOSPITAL,11/30/2018,0.72,3.66,16
STATE HOSPITAL,04/30/2018,0.55,3.22,15
STATE HOSPITAL,07/31/2018,0.62,4.03,13
STATE HOSPITAL,06/30/2018,0.70,4.30,14
STATE HOSPITAL,05/31/2018,0.59,3.26,15
STATE HOSPITAL,03/31/2018,0.64,3.35,16
STATE HOSPITAL,10/31/2018,0.54,3.31,14
STATE HOSPITAL,09/30/2018,0.61,3.28,16
STATE HOSPITAL,12/31/2017,0.77,4.06,16
STATE HOSPITAL,08/31/2018,0.74,4.04,16
TIFFT,02/28/2018,4.54,27.66,14
TIFFT,12/31/2017,5.18,24.88,17
TIFFT,10/31/2018,7.28,41.43,15
TIFFT,03/31/2018,5.87,32.82,15
TIFFT,08/31/2018,5.35,39.22,12
TIFFT,04/30/2018,7.00,41.91,14
TIFFT,07/31/2018,7.08,43.67,14
TIFFT,05/31/2018,5.37,38.48,12
TIFFT,01/31/2018,6.66,39.85,14
TIFFT,09/30/2018,6.32,37.18,15
TIFFT,11/30/2018,6.10,36.89,14
TIFFT,06/30/2018,5.37,41.33,11
TRIANGLE,10/31/2018,28.01,167.09,14
TRIANGLE,04/30/2018,27.17,168.96,14
TRIANGLE,03/31/2018,21.68,124.39,15
TRIANGLE,07/31/2018,27.69,175.83,14
TRIANGLE,05/31/2018,22.71,151.43,13
TRIANGLE,06/30/2018,22.09,151.51,13
TRIANGLE,09/30/2018,23.38,144.30,14
TRIANGLE,11/30/2018,23.92,143.59,14
TRIANGLE,12/31/2017,20.58,109.05,16
TRIANGLE,08/31/2018,21.18,147.11,13
TRIANGLE,02/28/2018,18.53,111.82,14
TRIANGLE,01/31/2018,27.77,155.60,15
UNIVERSITY,10/31/2018,18.06,101.31,15
UNIVERSITY,04/30/2018,19.85,86.47,19
UNIVERSITY,07/31/2018,18.71,100.51,16
UNIVERSITY,09/30/2018,21.12,105.45,17
UNIVERSITY,12/31/2017,20.40,90.76,18
UNIVERSITY,03/31/2018,21.87,102.87,18
UNIVERSITY,11/30/2018,26.55,100.37,21
UNIVERSITY,02/28/2018,20.40,74.62,21
UNIVERSITY,08/31/2018,26.53,140.47,16
UNIVERSITY,06/30/2018,20.45,99.32,17
UNIVERSITY,05/31/2018,28.73,166.53,15
UNIVERSITY,01/31/2018,18.98,66.44,22
VALLEY,07/31/2018,3.54,19.40,15
VALLEY,06/30/2018,2.97,18.15,14
VALLEY,05/31/2018,2.65,17.40,13
VALLEY,03/31/2018,2.79,14.27,16
VALLEY,08/31/2018,2.65,16.86,14
VALLEY,04/30/2018,3.34,19.74,14
VALLEY,11/30/2018,3.14,16.43,16
VALLEY,02/28/2018,2.68,12.75,17
VALLEY,12/31/2017,2.70,12.82,17
VALLEY,09/30/2018,2.66,15.90,14
VALLEY,01/31/2018,3.34,20.88,14
VALLEY,10/31/2018,3.30,19.06,15
WILLERT PARK,06/30/2018,14.96,92.69,14
WILLERT PARK,03/31/2018,9.34,65.80,12
WILLERT PARK,02/28/2018,12.89,77.68,14
WILLERT PARK,09/30/2018,12.93,83.73,13
WILLERT PARK,10/31/2018,14.55,106.24,12
WILLERT PARK,08/31/2018,17.20,113.47,13
WILLERT PARK,05/31/2018,16.41,109.60,13
WILLERT PARK,07/31/2018,14.31,95.88,13
WILLERT PARK,04/30/2018,11.30,77.15,13
WILLERT PARK,12/31/2017,10.17,88.32,10
WILLERT PARK,01/31/2018,14.32,109.85,12
WILLERT PARK,11/30/2018,11.08,80.91,12
