	recycling_rate	percent_male	percent_female	percent_under25	percent_25to44	percent_45to64	percent_senior	percent_vacant	percent_1unit	percent_2unit	percent_3to20unit	percent_20plusunit	percent_built_00to15	percent_built_70to99	percent_built_40to69	percent_built_before_40	percent_owner	percent_renter	percent_no_vehicle	percent_one_vehicle	percent_two_plus_vehicles	percent_families	percent_fam_w_kids	percent_married_w_kids	percent_singles_household	percent_foreign	percent_nohs	percent_hs	percent_assoc	percent_bachelors	percent_grads	percent_nonfamilies	percent_loners	percent_friends
recycling_rate	1.0	0.6223573702582671	-0.6223573702582671	-0.6094170998361748	0.738622644876335	0.23776827745655116	-0.266531540724466	-0.46504068469023035	0.07151464806313443	-0.42956548876935957	0.23751396964249216	0.2255324310210866	-0.10046703311550594	-0.13099767742967472	0.1385950567024882	0.01148493530147028	0.29298026654543113	-0.2929802665454312	-0.7416393467250565	0.0490991093806942	0.7467963386335995	-0.5308726715232098	-0.599422680339607	0.5769472523445939	0.18765652248453307	0.28971648614410844	-0.5574400149059665	-0.8408995744536071	-0.17879490694764955	0.893333714819622	0.7941724072439885	0.53087267152321	-0.6479320586172354	0.6479320586172357
percent_male	0.6223573702582671	1.0	-1.0	-0.31263353032515245	0.7825441761626605	-0.1167192763989015	-0.548570660787579	-0.3446122218802619	0.05808994500431242	-0.20573401053883897	0.09588994978115323	0.09688629555256506	-0.4307604915222366	-0.2866444317157262	0.11371607905898831	0.23619776733886527	0.20913839114326985	-0.20913839114326988	-0.6204536519244306	0.3481079666137568	0.4977107680548954	-0.4687491720959918	-0.5320660690762571	0.46096022033296874	0.13850197829405078	0.5297430745536502	-0.28899248817170003	-0.5520060190711102	-0.29050304176497344	0.5956731906068621	0.49995245064741106	0.46874917209599193	-0.6254768499269563	0.6254768499269564
percent_female	-0.6223573702582671	-1.0	1.0	0.31263353032515245	-0.7825441761626605	0.1167192763989015	0.548570660787579	0.3446122218802619	-0.05808994500431242	0.20573401053883897	-0.09588994978115323	-0.09688629555256506	0.4307604915222366	0.2866444317157262	-0.11371607905898831	-0.23619776733886527	-0.20913839114326985	0.20913839114326988	0.6204536519244306	-0.3481079666137568	-0.4977107680548954	0.4687491720959918	0.5320660690762571	-0.46096022033296874	-0.13850197829405078	-0.5297430745536502	0.28899248817170003	0.5520060190711102	0.29050304176497344	-0.5956731906068621	-0.49995245064741106	-0.46874917209599193	0.6254768499269563	-0.6254768499269564
percent_under25	-0.6094170998361748	-0.31263353032515245	0.31263353032515245	1.0	-0.5424344726609712	-0.7201653217868855	-0.30902054257202116	0.24957593891970842	-0.28300208231689067	0.439369808907728	-0.020937566216978634	-0.19097406229447392	-0.20157715085719854	-0.10125748120216405	-0.3794975137531414	0.41054596830517964	-0.4896910562709399	0.48969105627093984	0.5208338277985441	-0.0400297776687278	-0.52215923465601	0.4283695144326792	0.7364447983591161	-0.05660589110734763	-0.33535082748509787	0.18359957663102525	0.3982829878820884	0.49294483908401915	-0.10970920044141004	-0.5983304244863953	-0.4003554137914131	-0.4283695144326792	0.15011775278205503	-0.1501177527820554
percent_25to44	0.738622644876335	0.7825441761626605	-0.7825441761626605	-0.5424344726609712	1.0	-0.04165940019305917	-0.5382009582273727	-0.4035625101534621	-0.15518094623785256	-0.42472259815070573	0.4251891872218603	0.3094719447004528	-0.16686281662521707	-0.11260137933921208	-0.04746760435843494	0.1601700987522306	0.014599406168250284	-0.014599406168250291	-0.4942159016620246	0.1282418336086936	0.45812268674938145	-0.6736897232054686	-0.5911216295974707	0.39801528842777845	0.3730347413820327	0.3965338386906018	-0.3392069339167108	-0.7416807783797724	-0.2599440446525923	0.7494273233208103	0.6374563788530755	0.6736897232054684	-0.5193866209876841	0.5193866209876841
percent_45to64	0.23776827745655116	-0.1167192763989015	0.1167192763989015	-0.7201653217868855	-0.04165940019305917	1.0	0.4474848435826895	-0.1397908882992133	0.6039891927233814	-0.2544915255937089	-0.3052256450566862	-0.1059984307351495	0.20848444002521224	0.05062301024309378	0.650324536848224	-0.5822150948393529	0.6189431162735278	-0.6189431162735278	-0.2971409879021693	-0.18403683970219778	0.3835067327147556	0.08007337836583628	-0.3084305246347039	-0.020727433460668646	0.004929738660278124	-0.3816368879637708	-0.2002245624173485	-0.035732906113798396	0.44687029972661885	0.12457538599089214	-0.023918611320052685	-0.08007337836583633	0.16164263869106124	-0.16164263869106096
percent_senior	-0.266531540724466	-0.548570660787579	0.548570660787579	-0.30902054257202116	-0.5382009582273727	0.4474848435826895	1.0	0.31014665214170367	0.19400551289359708	0.10066779900496833	-0.34340461390616894	-0.0344296257531672	0.4399080516307835	0.3184597657378314	0.15814533675270268	-0.45992768393200706	0.2946097791406075	-0.29460977914060743	0.10030383015343988	0.047199041254977585	-0.1232813888062447	0.19574937854606275	-0.13602878786703193	-0.50642533673823	0.026934079839206284	-0.6050732492378779	-0.010593433449335493	0.29446529492684037	0.1884837689641568	-0.19588697265621807	-0.24412557930505108	-0.19574937854606278	0.39017786731454546	-0.39017786731454546
percent_vacant	-0.46504068469023035	-0.3446122218802619	0.3446122218802619	0.24957593891970842	-0.4035625101534621	-0.1397908882992133	0.31014665214170367	1.0	-0.30359363757728375	0.1392656474509994	-0.05086621842092794	0.22336654743043283	0.27145665452243345	0.21081869190762137	-0.44046709658607713	0.10553744121867832	-0.3158762752902622	0.3158762752902621	0.49816169369581453	0.16318422393702248	-0.5828032035921155	-0.14715460282643966	-0.03937623241603791	-0.5288692020679329	0.4394742466827446	-0.1849779700170352	0.4188457136154249	0.2665798837607616	-0.06946403646902755	-0.47780514823879777	-0.25011851996059564	0.14715460282643958	0.5776664762621715	-0.5776664762621714
percent_1unit	0.07151464806313443	0.05808994500431242	-0.05808994500431242	-0.28300208231689067	-0.15518094623785256	0.6039891927233814	0.19400551289359708	-0.30359363757728375	1.0	0.06327848728450443	-0.6673800807958129	-0.6173440529994193	-0.2658522464027731	-0.4272598488702308	0.6253742059859261	-0.11155274360328803	0.8351752539391113	-0.8351752539391111	-0.46427589961000276	-0.08554866087386148	0.515625945475053	0.41553415620351386	-0.047870850490828655	0.18186651846507149	-0.49878409497965576	-0.1758743623744786	-0.36086651254084756	0.23989898905936602	0.4573583667098946	0.012040117850733239	-0.141867877915738	-0.4155341562035136	-0.20634985380655838	0.20634985380655854
percent_2unit	-0.42956548876935957	-0.20573401053883897	0.20573401053883897	0.439369808907728	-0.42472259815070573	-0.2544915255937089	0.10066779900496833	0.1392656474509994	0.06327848728450443	1.0	-0.6354867183941166	-0.712921434781636	-0.4539604432144093	-0.3798816491724001	0.1365500095738196	0.2842476533634881	0.1326751450859343	-0.13267514508593434	0.11218400820123021	-0.016814955825682897	-0.10907910433533596	0.6108412345587813	0.44934081081636185	-0.08735050450187136	-0.5631080408533602	-0.08330274462822124	0.19918822100830275	0.5830520776915783	0.10101573664904978	-0.4204342248225487	-0.5583592994686747	-0.610841234558781	0.066111027236057	-0.06611102723605705
percent_3to20unit	0.23751396964249216	0.09588994978115323	-0.09588994978115323	-0.020937566216978634	0.4251891872218603	-0.3052256450566862	-0.34340461390616894	-0.05086621842092794	-0.6673800807958129	-0.6354867183941166	1.0	0.6322803288659151	0.2169069986825785	0.3811369000294835	-0.40667054558486676	-0.005563503413985462	-0.6344862743293525	0.6344862743293523	0.24290343366401312	0.03001771796583094	-0.2636692558853703	-0.6263284670644615	-0.19892773399981128	-0.028995529456329945	0.6072893221300907	0.20156719839717666	-0.019911344876742305	-0.530655856043002	-0.2726410130437655	0.307845525908525	0.4906278349772339	0.6263284670644614	0.0335631418144665	-0.033563141814466554
percent_20plusunit	0.2255324310210866	0.09688629555256506	-0.09688629555256506	-0.19097406229447392	0.3094719447004528	-0.1059984307351495	-0.0344296257531672	0.22336654743043283	-0.6173440529994193	-0.712921434781636	0.6322803288659151	1.0	0.6586655191521948	0.605241199370782	-0.5132879384120634	-0.21236782328445603	-0.5429972070824384	0.5429972070824384	0.1752046802172298	0.09100495074976521	-0.21888304183547003	-0.6512658057428303	-0.31121971254797387	-0.07553239109204529	0.7055240658557135	0.12032563922166398	0.18820726084284659	-0.5032309181537904	-0.399075276559152	0.21903899375524388	0.3974368013242694	0.6512658057428302	0.12511755764029092	-0.12511755764029098
percent_built_00to15	-0.10046703311550594	-0.4307604915222366	0.4307604915222366	-0.20157715085719854	-0.16686281662521707	0.20848444002521224	0.4399080516307835	0.27145665452243345	-0.2658522464027731	-0.4539604432144093	0.2169069986825785	0.6586655191521948	1.0	0.779536975477246	-0.299972280018797	-0.5916475339119908	-0.3773975087877473	0.37739750878774736	0.3709278015149434	-0.18993331561894328	-0.30507019137542013	-0.15855122094576393	-0.006053210338578005	-0.35528111362222425	0.38209685382717945	-0.2131344983799165	0.383302016896477	-0.035838879581221894	-0.062039627409817465	-0.16477758199667722	-0.11243403187282264	0.1585512209457639	0.3942834535457556	-0.3942834535457558
percent_built_70to99	-0.13099767742967472	-0.2866444317157262	0.2866444317157262	-0.10125748120216405	-0.11260137933921208	0.05062301024309378	0.3184597657378314	0.21081869190762137	-0.4272598488702308	-0.3798816491724001	0.3811369000294835	0.605241199370782	0.779536975477246	1.0	-0.22909310219575232	-0.7052239527684544	-0.540855283890753	0.5408552838907528	0.49162793955706346	-0.057877770036572546	-0.4845641877164936	-0.2026766568366789	0.022716799529859867	-0.2922078103580744	0.42913555907402223	0.02055540130668745	0.5570501360772581	-0.1268632016530375	-0.23200902566957637	-0.16149381756313944	-0.09623724400103151	0.20267665683667882	0.40724232329226623	-0.40724232329226634
percent_built_40to69	0.1385950567024882	0.11371607905898831	-0.11371607905898831	-0.3794975137531414	-0.04746760435843494	0.650324536848224	0.15814533675270268	-0.44046709658607713	0.6253742059859261	0.1365500095738196	-0.40667054558486676	-0.5132879384120634	-0.299972280018797	-0.22909310219575232	1.0	-0.49877022606598453	0.6369458741575024	-0.6369458741575024	-0.37844282976812066	-0.015825113118069885	0.3979912009605754	0.3471017296873194	-0.08543153062484958	0.1477958801659305	-0.3861265440958937	-0.1494992940919366	-0.1855295174636265	0.18673225903411503	0.453130700970836	0.01610071601938867	-0.22139921856237424	-0.3471017296873195	-0.10701320993617487	0.10701320993617502
percent_built_before_40	0.01148493530147028	0.23619776733886527	-0.23619776733886527	0.41054596830517964	0.1601700987522306	-0.5822150948393529	-0.45992768393200706	0.10553744121867832	-0.11155274360328803	0.2842476533634881	-0.005563503413985462	-0.21236782328445603	-0.5916475339119908	-0.7052239527684544	-0.49877022606598453	1.0	-0.013029399402564779	0.013029399402564736	-0.14589249595589568	0.1109561117586741	0.10498758387609333	-0.07935180505672443	0.05131882642761981	0.18905111380691259	-0.10564796237687568	0.1695725113183794	-0.3328921565216725	-0.04836492262628586	-0.17222534696378627	0.14240661188835402	0.26056038396471115	0.07935180505672443	-0.30283964077759545	0.3028396407775954
percent_owner	0.29298026654543113	0.20913839114326985	-0.20913839114326985	-0.4896910562709399	0.014599406168250284	0.6189431162735278	0.2946097791406075	-0.3158762752902622	0.8351752539391113	0.1326751450859343	-0.6344862743293525	-0.5429972070824384	-0.3773975087877473	-0.540855283890753	0.6369458741575024	-0.013029399402564779	1.0	-1.0000000000000002	-0.7029068391259621	0.013023777858683102	0.7216622140232238	0.22254908698912437	-0.29229687672503923	0.25968789067290865	-0.3957525020293605	-0.264395389998143	-0.595962186655546	0.05587239129235008	0.37338894781235493	0.2757613157823361	0.07963970363271158	-0.22254908698912446	-0.3722554259601739	0.37225542596017414
percent_renter	-0.2929802665454312	-0.20913839114326988	0.20913839114326988	0.48969105627093984	-0.014599406168250291	-0.6189431162735278	-0.29460977914060743	0.3158762752902621	-0.8351752539391111	-0.13267514508593434	0.6344862743293523	0.5429972070824384	0.37739750878774736	0.5408552838907528	-0.6369458741575024	0.013029399402564736	-1.0000000000000002	1.0	0.702906839125962	-0.013023777858683137	-0.7216622140232237	-0.2225490869891245	0.29229687672503923	-0.25968789067290876	0.3957525020293605	0.2643953899981429	0.5959621866555457	-0.05587239129235006	-0.3733889478123549	-0.2757613157823361	-0.07963970363271157	0.22254908698912446	0.37225542596017386	-0.37225542596017414
percent_no_vehicle	-0.7416393467250565	-0.6204536519244306	0.6204536519244306	0.5208338277985441	-0.4942159016620246	-0.2971409879021693	0.10030383015343988	0.49816169369581453	-0.46427589961000276	0.11218400820123021	0.24290343366401312	0.1752046802172298	0.3709278015149434	0.49162793955706346	-0.37844282976812066	-0.14589249595589568	-0.7029068391259621	0.702906839125962	1.0	-0.28166895288099886	-0.917788655666309	0.1398786820381635	0.5144101449781958	-0.5260904967598112	0.23788124833344032	-0.10953059971145859	0.7038419248713098	0.47501223440083584	-0.12742821006194974	-0.7035859150021088	-0.5340312714338874	-0.13987868203816348	0.7477445145172267	-0.7477445145172269
percent_one_vehicle	0.0490991093806942	0.3481079666137568	-0.3481079666137568	-0.0400297776687278	0.1282418336086936	-0.18403683970219778	0.047199041254977585	0.16318422393702248	-0.08554866087386148	-0.016814955825682897	0.03001771796583094	0.09100495074976521	-0.18993331561894328	-0.057877770036572546	-0.015825113118069885	0.1109561117586741	0.013023777858683102	-0.013023777858683137	-0.28166895288099886	1.0	-0.12247999351965802	-0.3015250954495031	-0.3874494615868897	-0.03230502672479877	0.29407318316444153	0.0951856836813421	0.02389823281313142	-0.14951065083895032	0.21849936624204677	0.006343932641605148	0.09784493577662055	0.30152509544950307	0.010756853816049253	-0.010756853816049104
percent_two_plus_vehicles	0.7467963386335995	0.4977107680548954	-0.4977107680548954	-0.52215923465601	0.45812268674938145	0.3835067327147556	-0.1232813888062447	-0.5828032035921155	0.515625945475053	-0.10907910433533596	-0.2636692558853703	-0.21888304183547003	-0.30507019137542013	-0.4845641877164936	0.3979912009605754	0.10498758387609333	0.7216622140232238	-0.7216622140232237	-0.917788655666309	-0.12247999351965802	1.0	-0.01990511708623733	-0.3717441875453611	0.5575303711238231	-0.36774712789110475	0.07390283878979886	-0.7379086455625739	-0.42945781775179237	0.04138503484503124	0.7251288985537631	0.5118846942411484	0.01990511708623731	-0.7778810721503068	0.7778810721503069
percent_families	-0.5308726715232098	-0.4687491720959918	0.4687491720959918	0.4283695144326792	-0.6736897232054686	0.08007337836583628	0.19574937854606275	-0.14715460282643966	0.41553415620351386	0.6108412345587813	-0.6263284670644615	-0.6512658057428303	-0.15855122094576393	-0.2026766568366789	0.3471017296873194	-0.07935180505672443	0.22254908698912437	-0.2225490869891245	0.1398786820381635	-0.3015250954495031	-0.01990511708623733	1.0	0.7702960061374392	-0.0007551662206143739	-0.872691371057857	-0.18893058281396777	0.18422273650240814	0.7340614562111811	0.2211322562979748	-0.5333291005988694	-0.6719957248331418	-0.9999999999999999	0.1759964327716013	-0.17599643277160143
percent_fam_w_kids	-0.599422680339607	-0.5320660690762571	0.5320660690762571	0.7364447983591161	-0.5911216295974707	-0.3084305246347039	-0.13602878786703193	-0.03937623241603791	-0.047870850490828655	0.44934081081636185	-0.19892773399981128	-0.31121971254797387	-0.006053210338578005	0.022716799529859867	-0.08543153062484958	0.05131882642761981	-0.29229687672503923	0.29229687672503923	0.5144101449781958	-0.3874494615868897	-0.3717441875453611	0.7702960061374392	1.0	0.11482984364570926	-0.5862083743220584	0.043765818237919266	0.4802206125092236	0.6435238708371354	0.014255829254180844	-0.6487537673753804	-0.6460022190116926	-0.770296006137439	0.3039673357285204	-0.3039673357285207
percent_married_w_kids	0.5769472523445939	0.46096022033296874	-0.46096022033296874	-0.05660589110734763	0.39801528842777845	-0.020727433460668646	-0.50642533673823	-0.5288692020679329	0.18186651846507149	-0.08735050450187136	-0.028995529456329945	-0.07553239109204529	-0.35528111362222425	-0.2922078103580744	0.1477958801659305	0.18905111380691259	0.25968789067290865	-0.25968789067290876	-0.5260904967598112	-0.03230502672479877	0.5575303711238231	-0.0007551662206143739	0.11482984364570926	1.0	-0.24844014539875814	0.5654750713743428	-0.20409911159236163	-0.3691680642183081	-0.1766933546038543	0.44005318971902907	0.30321674004048577	0.0007551662206144113	-0.5151014081891238	0.5151014081891235
percent_singles_household	0.18765652248453307	0.13850197829405078	-0.13850197829405078	-0.33535082748509787	0.3730347413820327	0.004929738660278124	0.026934079839206284	0.4394742466827446	-0.49878409497965576	-0.5631080408533602	0.6072893221300907	0.7055240658557135	0.38209685382717945	0.42913555907402223	-0.3861265440958937	-0.10564796237687568	-0.3957525020293605	0.3957525020293605	0.23788124833344032	0.29407318316444153	-0.36774712789110475	-0.872691371057857	-0.5862083743220584	-0.24844014539875814	1.0	0.0016457908115092485	0.1435389087752211	-0.4584963127825038	-0.15241331435640398	0.16489962552336854	0.3540644336510065	0.8726913710578568	0.3219783241564345	-0.32197832415643435
percent_foreign	0.28971648614410844	0.5297430745536502	-0.5297430745536502	0.18359957663102525	0.3965338386906018	-0.3816368879637708	-0.6050732492378779	-0.1849779700170352	-0.1758743623744786	-0.08330274462822124	0.20156719839717666	0.12032563922166398	-0.2131344983799165	0.02055540130668745	-0.1494992940919366	0.1695725113183794	-0.264395389998143	0.2643953899981429	-0.10953059971145859	0.0951856836813421	0.07390283878979886	-0.18893058281396777	0.043765818237919266	0.5654750713743428	0.0016457908115092485	1.0	0.2809857545220927	-0.4174933211041146	-0.38803216028586035	0.25058461940227533	0.18628117776735145	0.18893058281396766	-0.37364606706804543	0.3736460670680451
percent_nohs	-0.5574400149059665	-0.28899248817170003	0.28899248817170003	0.3982829878820884	-0.3392069339167108	-0.2002245624173485	-0.010593433449335493	0.4188457136154249	-0.36086651254084756	0.19918822100830275	-0.019911344876742305	0.18820726084284659	0.383302016896477	0.5570501360772581	-0.1855295174636265	-0.3328921565216725	-0.595962186655546	0.5959621866555457	0.7038419248713098	0.02389823281313142	-0.7379086455625739	0.18422273650240814	0.4802206125092236	-0.20409911159236163	0.1435389087752211	0.2809857545220927	1.0	0.35546925463632556	-0.028323458157107274	-0.6895604097511151	-0.6677946858558177	-0.1842227365024081	0.6150866311744865	-0.6150866311744866
percent_hs	-0.8408995744536071	-0.5520060190711102	0.5520060190711102	0.49294483908401915	-0.7416807783797724	-0.035732906113798396	0.29446529492684037	0.2665798837607616	0.23989898905936602	0.5830520776915783	-0.530655856043002	-0.5032309181537904	-0.035838879581221894	-0.1268632016530375	0.18673225903411503	-0.04836492262628586	0.05587239129235008	-0.05587239129235006	0.47501223440083584	-0.14951065083895032	-0.42945781775179237	0.7340614562111811	0.6435238708371354	-0.3691680642183081	-0.4584963127825038	-0.4174933211041146	0.35546925463632556	1.0	0.3130140396672577	-0.8669246510297758	-0.8862053746773908	-0.7340614562111814	0.4786777270736159	-0.47867772707361567
percent_assoc	-0.17879490694764955	-0.29050304176497344	0.29050304176497344	-0.10970920044141004	-0.2599440446525923	0.44687029972661885	0.1884837689641568	-0.06946403646902755	0.4573583667098946	0.10101573664904978	-0.2726410130437655	-0.399075276559152	-0.062039627409817465	-0.23200902566957637	0.453130700970836	-0.17222534696378627	0.37338894781235493	-0.3733889478123549	-0.12742821006194974	0.21849936624204677	0.04138503484503124	0.2211322562979748	0.014255829254180844	-0.1766933546038543	-0.15241331435640398	-0.38803216028586035	-0.028323458157107274	0.3130140396672577	1.0	-0.3287200697448542	-0.37134850040624406	-0.22113225629797476	0.15207529369376757	-0.1520752936937673
percent_bachelors	0.893333714819622	0.5956731906068621	-0.5956731906068621	-0.5983304244863953	0.7494273233208103	0.12457538599089214	-0.19588697265621807	-0.47780514823879777	0.012040117850733239	-0.4204342248225487	0.307845525908525	0.21903899375524388	-0.16477758199667722	-0.16149381756313944	0.01610071601938867	0.14240661188835402	0.2757613157823361	-0.2757613157823361	-0.7035859150021088	0.006343932641605148	0.7251288985537631	-0.5333291005988694	-0.6487537673753804	0.44005318971902907	0.16489962552336854	0.25058461940227533	-0.6895604097511151	-0.8669246510297758	-0.3287200697448542	1.0	0.8870805395751786	0.5333291005988694	-0.6786502172931684	0.6786502172931684
percent_grads	0.7941724072439885	0.49995245064741106	-0.49995245064741106	-0.4003554137914131	0.6374563788530755	-0.023918611320052685	-0.24412557930505108	-0.25011851996059564	-0.141867877915738	-0.5583592994686747	0.4906278349772339	0.3974368013242694	-0.11243403187282264	-0.09623724400103151	-0.22139921856237424	0.26056038396471115	0.07963970363271158	-0.07963970363271157	-0.5340312714338874	0.09784493577662055	0.5118846942411484	-0.6719957248331418	-0.6460022190116926	0.30321674004048577	0.3540644336510065	0.18628117776735145	-0.6677946858558177	-0.8862053746773908	-0.37134850040624406	0.8870805395751786	1.0	0.6719957248331421	-0.5664069956238169	0.5664069956238169
percent_nonfamilies	0.53087267152321	0.46874917209599193	-0.46874917209599193	-0.4283695144326792	0.6736897232054684	-0.08007337836583633	-0.19574937854606278	0.14715460282643958	-0.4155341562035136	-0.610841234558781	0.6263284670644614	0.6512658057428302	0.1585512209457639	0.20267665683667882	-0.3471017296873195	0.07935180505672443	-0.22254908698912446	0.22254908698912446	-0.13987868203816348	0.30152509544950307	0.01990511708623731	-0.9999999999999999	-0.770296006137439	0.0007551662206144113	0.8726913710578568	0.18893058281396766	-0.1842227365024081	-0.7340614562111814	-0.22113225629797476	0.5333291005988694	0.6719957248331421	1.0	-0.17599643277160124	0.1759964327716014
percent_loners	-0.6479320586172354	-0.6254768499269563	0.6254768499269563	0.15011775278205503	-0.5193866209876841	0.16164263869106124	0.39017786731454546	0.5776664762621715	-0.20634985380655838	0.066111027236057	0.0335631418144665	0.12511755764029092	0.3942834535457556	0.40724232329226623	-0.10701320993617487	-0.30283964077759545	-0.3722554259601739	0.37225542596017386	0.7477445145172267	0.010756853816049253	-0.7778810721503068	0.1759964327716013	0.3039673357285204	-0.5151014081891238	0.3219783241564345	-0.37364606706804543	0.6150866311744865	0.4786777270736159	0.15207529369376757	-0.6786502172931684	-0.5664069956238169	-0.17599643277160124	1.0	-1.0
percent_friends	0.6479320586172357	0.6254768499269564	-0.6254768499269564	-0.1501177527820554	0.5193866209876841	-0.16164263869106096	-0.39017786731454546	-0.5776664762621714	0.20634985380655854	-0.06611102723605705	-0.033563141814466554	-0.12511755764029098	-0.3942834535457558	-0.40724232329226634	0.10701320993617502	0.3028396407775954	0.37225542596017414	-0.37225542596017414	-0.7477445145172269	-0.010756853816049104	0.7778810721503069	-0.17599643277160143	-0.3039673357285207	0.5151014081891235	-0.32197832415643435	0.3736460670680451	-0.6150866311744866	-0.47867772707361567	-0.1520752936937673	0.6786502172931684	0.5664069956238169	0.1759964327716014	-1.0	1.0
